id,name,accuracy,power,type,pp,effect_chance,priority,damage_class,generation_introduced,description,short_description,category
382,me-first,,,normal,20,,0,status,generation-iv,"If the target has selected a damaging move this turn, the user will copy that move and use it against the target, with a 50% increase in power.

If the target moves before the user, this move will fail.

This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk.","Uses the target’s move against it before it attacks, with power increased by half.",
383,copycat,,,normal,20,,0,status,generation-iv,"Uses the last move that was used successfully by any Pokémon, including the user.

This move cannot copy itself, nor roar nor whirlwind.

This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk.",Uses the target’s last used move.,
384,power-swap,,,psychic,10,,0,status,generation-iv,User swaps its Attack and Special Attack stat modifiers modifiers with the target.,User swaps Attack and Special Attack changes with the target.,
385,guard-swap,,,psychic,10,,0,status,generation-iv,User swaps its Defense and Special Defense modifiers with the target.,User swaps Defense and Special Defense changes with the target.,
386,punishment,100.0,,dark,5,,0,physical,generation-iv,"Inflicts regular damage.  Power starts at 60 and is increased by 20 for every stage any of the target’s stats has been raised, capping at 200.  Accuracy and evasion modifiers do not increase this move’s power.","Power increases against targets with more raised stats, up to a maximum of 200.",
387,last-resort,100.0,140.0,normal,5,,0,physical,generation-iv,"Inflicts regular damage.  This move can only be used if each of the user’s other moves has been used at least once since the user entered the field.  If this is the user’s only move, this move will fail.",Can only be used after all of the user’s other moves have been used.,
388,worry-seed,100.0,,grass,10,,0,status,generation-iv,"Changes the target’s ability to insomnia.

If the target’s ability is truant or multitype, this move will fail.",Changes the target’s ability to Insomnia.,
389,sucker-punch,100.0,70.0,dark,5,,1,physical,generation-iv,"Inflicts regular damage.  If the target has not selected a damaging move this turn, or if the target has already acted this turn, this move will fail.

This move is not affected by iron fist.",Only works if the target is about to use a damaging move.,
390,toxic-spikes,,,poison,20,,0,status,generation-iv,"Scatters poisoned spikes around the opposing field, which poison opposing Pokémon that enter the field.  A second layer of these spikes may be laid down, in which case Pokémon will be badly poisoned instead.  Pokémon immune to either ground moves or being poisoned are immune to this effect.  Pokémon otherwise immune to ground moves are affected during gravity.

If a poison Pokémon not immune to ground moves enters a field covered with poisoned spikes, the spikes are removed.

rapid spin will remove this effect from its user’s side of the field.  defog will remove this effect from its target’s side of the field.

This move does not trigger synchronize, unless the Pokémon with synchronize was forced to enter the field by another effect such as roar.

Pokémon entering the field due to baton pass are not affected by this effect.","Scatters poisoned spikes, poisoning opposing Pokémon that switch in.",
391,heart-swap,,,psychic,10,,0,status,generation-iv,User swaps its stat modifiers with the target.,User and target swap stat changes.,
392,aqua-ring,,,water,20,,0,status,generation-iv,"Restores 1/16 of the user’s max HP at the end of each turn.  If the user leaves the field, this effect ends.

This effect is passed on by baton pass.",Restores 1/16 of the user’s max HP each turn.,
393,magnet-rise,,,electric,10,,0,status,generation-iv,"For five turns, the user is immune to ground moves.

If the user is under the effect of ingrain or has levitate, this move will fail.

This effect is temporarily disabled by and cannot be used during gravity.

This effect is passed on by baton pass.",User is immune to Ground moves and effects for five turns.,
394,flare-blitz,100.0,120.0,fire,15,10.0,0,physical,generation-iv,"Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.  Has a 10% chance to burn the target.  Frozen Pokémon may use this move, in which case they will thaw.",User takes 1/3 the damage inflicted in recoil.  Has a 10% chance to burn the target.,
395,force-palm,100.0,60.0,fighting,10,30.0,0,physical,generation-iv,Inflicts regular damage.  Has a 30% chance to paralyze the target.,Has a 30% chance to paralyze the target.,
396,aura-sphere,,80.0,fighting,20,,0,special,generation-iv,Inflicts regular damage.  Ignores accuracy and evasion modifiers.,Never misses.,ball and bomb
397,rock-polish,,,rock,20,,0,status,generation-iv,Raises the user’s Speed by two stages.,Raises the user’s Speed by two stages.,
398,poison-jab,100.0,80.0,poison,20,30.0,0,physical,generation-iv,Inflicts regular damage.  Has a 30% chance to poison the target.,Has a 30% chance to poison the target.,
399,dark-pulse,100.0,80.0,dark,15,20.0,0,special,generation-iv,Inflicts regular damage.  Has a 20% chance to make the target flinch.,Has a 20% chance to make the target flinch.,aura and pulse
400,night-slash,100.0,70.0,dark,15,,0,physical,generation-iv,Inflicts regular damage.  User’s critical hit rate is one level higher when using this move.,Has an increased chance for a critical hit.,slicing
401,aqua-tail,90.0,90.0,water,10,,0,physical,generation-iv,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
402,seed-bomb,100.0,80.0,grass,15,,0,physical,generation-iv,Inflicts regular damage.,Inflicts regular damage with no additional effect.,ball and bomb
403,air-slash,95.0,75.0,flying,15,30.0,0,special,generation-iv,Inflicts regular damage.  Has a 30% chance to make the target flinch.,Has a 30% chance to make the target flinch.,slicing
404,x-scissor,100.0,80.0,bug,15,,0,physical,generation-iv,Inflicts regular damage.,Inflicts regular damage with no additional effect.,slicing
405,bug-buzz,100.0,90.0,bug,10,10.0,0,special,generation-iv,Inflicts regular damage.  Has a 10% chance to lower the target’s Special Defense by one stage.,Has a 10% chance to lower the target’s Special Defense by one stage.,sound-based
406,dragon-pulse,100.0,85.0,dragon,10,,0,special,generation-iv,Inflicts regular damage.,Inflicts regular damage with no additional effect.,aura and pulse
407,dragon-rush,75.0,100.0,dragon,10,20.0,0,physical,generation-iv,Inflicts regular damage.  Has a 20% chance to make the target flinch.,Has a 20% chance to make the target flinch.,
408,power-gem,100.0,80.0,rock,20,,0,special,generation-iv,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
409,drain-punch,100.0,75.0,fighting,10,,0,physical,generation-iv,Inflicts regular damage.  Drains half the damage inflicted to heal the user.,Drains half the damage inflicted to heal the user.,punching
410,vacuum-wave,100.0,40.0,fighting,30,,1,special,generation-iv,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
411,focus-blast,70.0,120.0,fighting,5,10.0,0,special,generation-iv,Inflicts regular damage.  Has a 10% chance to lower the target’s Special Defense by one stage.,Has a 10% chance to lower the target’s Special Defense by one stage.,ball and bomb
412,energy-ball,100.0,90.0,grass,10,10.0,0,special,generation-iv,Inflicts regular damage.  Has a 10% chance to lower the target’s Special Defense by one stage.,Has a 10% chance to lower the target’s Special Defense by one stage.,ball and bomb
413,brave-bird,100.0,120.0,flying,15,,0,physical,generation-iv,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.,User receives 1/3 the damage inflicted in recoil.,
414,earth-power,100.0,90.0,ground,10,10.0,0,special,generation-iv,Inflicts regular damage.  Has a 10% chance to lower the target’s Special Defense by one stage.,Has a 10% chance to lower the target’s Special Defense by one stage.,
415,switcheroo,100.0,,dark,10,,0,status,generation-iv,"User and target permanently swap held items.  Works even if one of the Pokémon isn’t holding anything.  If either Pokémon is holding mail, this move will fail.

If either Pokémon has multitype or sticky hold, this move will fail.

If this move results in a Pokémon obtaining choice band, choice scarf, or choice specs, and that Pokémon was the latter of the pair to move this turn, then the move it used this turn becomes its chosen forced move.  This applies even if both Pokémon had a choice item before this move was used.  If the first of the two Pokémon gains a choice item, it may select whatever choice move it wishes next turn.

Neither the user nor the target can recover its item with recycle.

This move cannot be selected by assist or metronome.",User and target swap items.,
416,giga-impact,90.0,150.0,normal,5,,0,physical,generation-iv,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn.",User foregoes its next turn to recharge.,
417,nasty-plot,,,dark,20,,0,status,generation-iv,Raises the user’s Special Attack by two stages.,Raises the user’s Special Attack by two stages.,
418,bullet-punch,100.0,40.0,steel,30,,1,physical,generation-iv,Inflicts regular damage.,Inflicts regular damage with no additional effect.,punching
419,avalanche,100.0,60.0,ice,10,,-4,physical,generation-iv,"Inflicts regular damage.  If the target damaged the user this turn and was the last to do so, this move has double power.

pain split does not count as damaging the user.",Inflicts double damage if the user takes damage before attacking this turn.,
420,ice-shard,100.0,40.0,ice,30,,1,physical,generation-iv,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
421,shadow-claw,100.0,70.0,ghost,15,,0,physical,generation-iv,Inflicts regular damage.  User’s critical hit rate is one level higher when using this move.,Has an increased chance for a critical hit.,
422,thunder-fang,95.0,65.0,electric,15,10.0,0,physical,generation-iv,Inflicts regular damage.  Has a 10% chance to paralyze the target and a separate 10% chance to make the target flinch.,Has a 10% chance to paralyze the target and a 10% chance to make the target flinch.,biting
423,ice-fang,95.0,65.0,ice,15,10.0,0,physical,generation-iv,Inflicts regular damage.  Has a 10% chance to freeze the target and a separate 10% chance to make the target flinch.,Has a 10% chance to freeze the target and a 10% chance to make the target flinch.,biting
424,fire-fang,95.0,65.0,fire,15,10.0,0,physical,generation-iv,Inflicts regular damage.  Has a 10% chance to burn the target and a separate 10% chance to make the target flinch.,Has a 10% chance to burn the target and a 10% chance to make the target flinch.,biting
425,shadow-sneak,100.0,40.0,ghost,30,,1,physical,generation-iv,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
426,mud-bomb,85.0,65.0,ground,10,30.0,0,special,generation-iv,Inflicts regular damage.  Has a 30% chance to lower the target’s accuracy by one stage.,Has a 30% chance to lower the target’s accuracy by one stage.,ball and bomb
427,psycho-cut,100.0,70.0,psychic,20,,0,physical,generation-iv,Inflicts regular damage.  User’s critical hit rate is one level higher when using this move.,Has an increased chance for a critical hit.,slicing
428,zen-headbutt,90.0,80.0,psychic,15,20.0,0,physical,generation-iv,Inflicts regular damage.  Has a 20% chance to make the target flinch.,Has a 20% chance to make the target flinch.,
429,mirror-shot,85.0,65.0,steel,10,30.0,0,special,generation-iv,Inflicts regular damage.  Has a 30% chance to lower the target’s accuracy by one stage.,Has a 30% chance to lower the target’s accuracy by one stage.,
430,flash-cannon,100.0,80.0,steel,10,10.0,0,special,generation-iv,Inflicts regular damage.  Has a 10% chance to lower the target’s Special Defense by one stage.,Has a 10% chance to lower the target’s Special Defense by one stage.,
431,rock-climb,85.0,90.0,normal,20,20.0,0,physical,generation-iv,Inflicts regular damage.  Has a 20% chance to confuse the target.,Has a 20% chance to confuse the target.,
432,defog,,,flying,15,,0,status,generation-iv,"Lowers the target’s evasion by one stage.  Clears away fog.  Removes the effects of mist, light screen, reflect, safeguard, spikes, stealth rock, and toxic spikes from the target’s side of the field.

If the target is protected by mist, it will prevent the evasion change, then be removed by this move.",Lowers the target’s evasion by one stage.  Removes field effects from the enemy field.,
433,trick-room,,,psychic,5,,-7,status,generation-iv,"For five turns (including this one), slower Pokémon will act before faster Pokémon.  Move priority is not affected.  Using this move when its effect is already active will end the effect.

Pokémon holding full incense, lagging tail, or quick claw and Pokémon with stall ignore this effect.","For five turns, slower Pokémon will act before faster Pokémon.",
434,draco-meteor,90.0,130.0,dragon,5,100.0,0,special,generation-iv,"Inflicts regular damage, then lowers the user’s Special Attack by two stages.",Lowers the user’s Special Attack by two stages after inflicting damage.,
435,discharge,100.0,80.0,electric,15,30.0,0,special,generation-iv,Inflicts regular damage.  Has a 30% chance to paralyze the target.,Has a 30% chance to paralyze the target.,
436,lava-plume,100.0,80.0,fire,15,30.0,0,special,generation-iv,Inflicts regular damage.  Has a 30% chance to burn the target.,Has a 30% chance to burn the target.,
437,leaf-storm,90.0,130.0,grass,5,100.0,0,special,generation-iv,"Inflicts regular damage, then lowers the user’s Special Attack by two stages.",Lowers the user’s Special Attack by two stages after inflicting damage.,
438,power-whip,85.0,120.0,grass,10,,0,physical,generation-iv,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
439,rock-wrecker,90.0,150.0,rock,5,,0,physical,generation-iv,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn.",User foregoes its next turn to recharge.,ball and bomb
440,cross-poison,100.0,70.0,poison,20,10.0,0,physical,generation-iv,Inflicts regular damage.  User’s critical hit rate is one level higher when using this move. Has a 10% chance to poison the target.,Has an increased chance for a critical hit and a 10% chance to poison the target.,slicing
441,gunk-shot,80.0,120.0,poison,5,30.0,0,physical,generation-iv,Inflicts regular damage.  Has a 30% chance to poison the target.,Has a 30% chance to poison the target.,
442,iron-head,100.0,80.0,steel,15,30.0,0,physical,generation-iv,Inflicts regular damage.  Has a 30% chance to make the target flinch.,Has a 30% chance to make the target flinch.,
443,magnet-bomb,,60.0,steel,20,,0,physical,generation-iv,Inflicts regular damage.  Ignores accuracy and evasion modifiers.,Never misses.,ball and bomb
444,stone-edge,80.0,100.0,rock,5,,0,physical,generation-iv,Inflicts regular damage.  User’s critical hit rate is one level higher when using this move.,Has an increased chance for a critical hit.,
445,captivate,100.0,,normal,20,,0,status,generation-iv,"Lowers the target’s Special Attack by two stages.  If the user and target are the same gender, or either is genderless, this move will fail.",Lowers the target’s Special Attack by two stages if it’s the opposite gender.,
446,stealth-rock,,,rock,20,,0,status,generation-iv,"Spreads sharp rocks around the opposing field, damaging any Pokémon that enters the field for 1/8 its max HP.  This damage is affected by the entering Pokémon’s susceptibility to rock moves.

rapid spin removes this effect from its user’s side of the field.",Causes damage when opposing Pokémon switch in.,
447,grass-knot,100.0,,grass,20,,0,special,generation-iv,"Inflicts regular damage.  Power increases with the target’s weight in kilograms, to a maximum of 120.

Target’s weight | Power
--------------- | ----:
Up to 10kg      |    20
Up to 25kg      |    40
Up to 50kg      |    60
Up to 100kg     |    80
Up to 200kg     |   100
Above 200kg     |   120
","Inflicts more damage to heavier targets, with a maximum of 120 power.",
448,chatter,100.0,65.0,flying,20,100.0,0,special,generation-iv,"Inflicts regular damage.  Has either a 1%, 11%, or 31% chance to confuse the target, based on the volume of the recording made for this move; louder recordings increase the chance of confusion.  If the user is not a chatot, this move will not cause confusion.

This move cannot be copied by mimic, mirror move, or sketch, nor selected by assist, metronome, or sleep talk.",Has a higher chance to confuse the target when the recorded sound is louder.,sound-based
449,judgment,100.0,100.0,normal,10,,0,special,generation-iv,"Inflicts regular damage.  If the user is holding a plate or a drive, this move’s type is the type corresponding to that item.

Note: This effect is technically shared by both techno blast and judgment; however, Techno Blast is only affected by drives, and Judgment is only affected by plates.","If the user is holding a appropriate plate or drive, the damage inflicted will match it.",
450,bug-bite,100.0,60.0,bug,20,,0,physical,generation-iv,"Inflicts regular damage.  If the target is holding a berry, this move has double power, and the user takes the berry and uses it immediately.

If the target is holding a jaboca berry or rowap berry, the berry is still removed, but has no effect.

If this move is super effective and the target is holding a berry that can reduce this move’s damage, it will do so, and will not be stolen.","If target has a berry, inflicts double damage and uses the berry.",
451,charge-beam,90.0,50.0,electric,10,70.0,0,special,generation-iv,Inflicts regular damage.  Has a 70% chance to raise the user’s Special Attack by one stage.,Has a 70% chance to raise the user’s Special Attack by one stage.,
452,wood-hammer,100.0,120.0,grass,15,,0,physical,generation-iv,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.,User receives 1/3 the damage inflicted in recoil.,
453,aqua-jet,100.0,40.0,water,20,,1,physical,generation-iv,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
454,attack-order,100.0,90.0,bug,15,,0,physical,generation-iv,Inflicts regular damage.  User’s critical hit rate is one level higher when using this move.,Has an increased chance for a critical hit.,
455,defend-order,,,bug,10,,0,status,generation-iv,Raises the user’s Defense and Special Defense by one stage.,Raises the user’s Defense and Special Defense by one stage.,
456,heal-order,,,bug,10,,0,status,generation-iv,Heals the user for half its max HP.,Heals the user by half its max HP.,
457,head-smash,80.0,150.0,rock,5,,0,physical,generation-iv,Inflicts regular damage.  User takes 1/2 the damage it inflicts in recoil.,User receives 1/2 the damage inflicted in recoil.,
458,double-hit,90.0,35.0,normal,10,,0,physical,generation-iv,Inflicts regular damage.  Hits twice in one turn.,Hits twice in one turn.,
459,roar-of-time,90.0,150.0,dragon,5,,0,special,generation-iv,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn.",User foregoes its next turn to recharge.,
460,spacial-rend,95.0,100.0,dragon,5,,0,special,generation-iv,Inflicts regular damage.  User’s critical hit rate is one level higher when using this move.,Has an increased chance for a critical hit.,
461,lunar-dance,,,psychic,10,,0,status,generation-iv,"User faints.  Its replacement’s HP and PP are fully restored, and any major status effect is removed.","User faints, and its replacement is fully healed.",dance
462,crush-grip,100.0,,normal,5,,0,physical,generation-iv,"Inflicts regular damage.  Power directly relates to the target’s relative remaining HP, given by `1 + 120 * current HP / max HP`, to a maximum of 121.","Power increases against targets with more HP remaining, up to a maximum of 121 power.",
463,magma-storm,75.0,100.0,fire,5,100.0,0,special,generation-iv,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",Prevents the target from fleeing and inflicts damage for 2-5 turns.,
464,dark-void,50.0,,dark,10,,0,status,generation-iv,Puts the target to sleep.,Puts the target to sleep.,
465,seed-flare,85.0,120.0,grass,5,40.0,0,special,generation-iv,Inflicts regular damage.  Has a 40% chance to lower the target’s Special Defense by two stages.,Has a 40% chance to lower the target’s Special Defense by two stages.,
466,ominous-wind,100.0,60.0,ghost,5,10.0,0,special,generation-iv,Inflicts regular damage. Has a 10% chance to raise all of the user’s stats one stage.,Has a 10% chance to raise all of the user’s stats by one stage.,
467,shadow-force,100.0,120.0,ghost,5,,0,physical,generation-iv,"Inflicts regular damage.  User vanishes for one turn, becoming immune to attack, and hits on the second turn.

This move ignores the effects of detect and protect.

This move cannot be selected by sleep talk.","User vanishes, dodging all attacks, and hits next turn.  Hits through Protect and Detect.",
468,hone-claws,,,dark,15,,0,status,generation-v,Raises the user’s Attack and accuracy by one stage.,Raises the user’s Attack and accuracy by one stage.,
469,wide-guard,,,rock,10,,3,status,generation-v,"Moves with multiple targets will not hit friendly Pokémon for the remainder of this turn.  If the user is last to act this turn, this move will fail.

This move cannot be selected by assist or metronome.",Prevents any multi-target moves from hitting friendly Pokémon this turn.,
470,guard-split,,,psychic,10,,0,status,generation-v,Averages the user’s unmodified Defense with the target’s unmodified Defense; the value becomes the unmodified Defense for both Pokémon. Unmodified Special Defense is averaged the same way.,Averages Defense and Special Defense with the target.,
471,power-split,,,psychic,10,,0,status,generation-v,"Averages the user’s unmodified Attack with the target’s unmodified Attack; the value becomes the unmodified Attack for both Pokémon. Unmodified Special Attack is averaged the same way.

This effect applies before any other persistent changes to unmodified Attack or Special Attack, such as flower gift during sunny day.",Averages Attack and Special Attack with the target.,
472,wonder-room,,,psychic,10,,0,status,generation-v,"For five turns (including this one), every Pokémon’s Defense and Special Defense are swapped.",All Pokémon’s Defense and Special Defense are swapped for 5 turns.,
473,psyshock,100.0,80.0,psychic,10,,0,special,generation-v,"Inflicts regular damage.  Damage calculation always uses the target’s Defense, regardless of this move’s damage class.","Inflicts damage based on the target’s Defense, not Special Defense.",
474,venoshock,100.0,65.0,poison,10,,0,special,generation-v,"Inflicts regular damage.  If the target is poisoned, this move has double power.",Inflicts double damage if the target is Poisoned.,
475,autotomize,,,steel,15,,0,status,generation-v,Raises the user’s Speed by two stages.  Halves the user’s weight; this effect does not stack.,Raises the user’s Speed by two stages and halves the user’s weight.,
476,rage-powder,,,bug,20,,2,status,generation-v,"Until the end of this turn, any moves that opposing Pokémon target solely at the user’s ally will instead target the user.  If both Pokémon on the same side of the field use this move on the same turn, the Pokémon that uses it last will become the target.

This effect takes priority over lightning rod and storm drain.

If the user’s ally switches out, opposing Pokémon may still hit it with pursuit.

This move cannot be selected by assist or metronome.",Redirects the target’s single-target effects to the user for this turn.,powder and spore
477,telekinesis,,,psychic,15,,0,status,generation-v,"For three turns (including this one), moves used against the target have 100% accuracy, but the target is immune to ground damage.  Accuracy of one-hit KO moves is exempt from this effect.

This effect is removed by gravity.  If Gravity is already in effect, this move will fail.",Moves have 100% accuracy against the target for three turns.,
478,magic-room,,,psychic,10,,0,status,generation-v,"For five turns (including this one), passive effects of held items are ignored, and Pokémon will not use their held items.",Negates held items for five turns.,
479,smack-down,100.0,50.0,rock,15,100.0,0,physical,generation-v,"Inflicts regular damage.  Removes the target’s immunity to ground-type damage.  This effect removes any existing Ground immunity due to levitate, magnet rise, or telekinesis, and causes the target’s flying type to be ignored when it takes Ground damage.

If the target isn’t immune to Ground damage, this move will fail.

This move can hit Pokémon under the effect of bounce, fly, or sky drop, and ends the effect of Bounce or Fly.",Removes any immunity to Ground damage.,
480,storm-throw,100.0,60.0,fighting,10,,0,physical,generation-v,Inflicts regular damage.  Always scores a critical hit.,Always scores a critical hit.,
481,flame-burst,100.0,70.0,fire,15,,0,special,generation-v,"Inflicts regular damage.  If this move successfully hits the target, any Pokémon adjacent to the target are damaged for 1/16 their max HP.",Deals splash damage to Pokémon next to the target.,
482,sludge-wave,100.0,95.0,poison,10,10.0,0,special,generation-v,Inflicts regular damage.  Has a 10% chance to poison the target.,Has a 10% chance to poison the target.,
483,quiver-dance,,,bug,20,,0,status,generation-v,"Raises the user’s Special Attack, Special Defense, and Speed by one stage each.","Raises the user’s Special Attack, Special Defense, and Speed by one stage each.",dance
484,heavy-slam,100.0,,steel,10,,0,physical,generation-v,"Inflicts regular damage.  The greater the user’s weight compared to the target’s, the higher power this move has, to a maximum of 120.

User’s weight                    | Power
-------------------------------- | ----:
Up to 2× the target’s weight     |    40
Up to 3× the target’s weight     |    60
Up to 4× the target’s weight     |    80
Up to 5× the target’s weight     |   100
More than 5× the target’s weight |   120
","Power is higher when the user weighs more than the target, up to a maximum of 120.",
485,synchronoise,100.0,120.0,psychic,10,,0,special,generation-v,Inflicts regular damage.  Only Pokémon that share a type with the user will take damage from this move.,Hits any Pokémon that shares a type with the user.,
486,electro-ball,100.0,,electric,10,,0,special,generation-v,"Inflicts regular damage.  The greater the user’s Speed compared to the target’s, the higher power this move has, to a maximum of 150.

User’s Speed                     | Power
-------------------------------- | ----:
Up to 2× the target’s Speed      |    60
Up to 3× the target’s Speed      |    80
Up to 4× the target’s Speed      |   120
More than 4× the target’s Speed  |   150
","Power is higher when the user has greater Speed than the target, up to a maximum of 150.",ball and bomb
487,soak,100.0,,water,20,,0,status,generation-v,"Changes the target to pure water-type until it leaves the field.  If the target has multitype, this move will fail.",Changes the target’s type to Water.,
488,flame-charge,100.0,50.0,fire,20,100.0,0,physical,generation-v,Inflicts regular damage.  Raises the user’s Speed by one stage.,Inflicts regular damage.  Raises the user’s Speed by one stage.,
489,coil,,,poison,20,,0,status,generation-v,"Raises the user’s Attack, Defense, and accuracy by one stage each.","Raises the user’s Attack, Defense, and accuracy by one stage each.",
490,low-sweep,100.0,65.0,fighting,20,100.0,0,physical,generation-v,Lowers the target’s Speed by one stage.,Lowers the target’s Speed by one stage.,
491,acid-spray,100.0,40.0,poison,20,100.0,0,special,generation-v,Inflicts regular damage.  Lowers the target’s Special Defense by two stages.,Lowers the target’s Special Defense by two stages.,ball and bomb
492,foul-play,100.0,95.0,dark,15,,0,physical,generation-v,Inflicts regular damage.  Damage is calculated using the target’s attacking stat rather than the user’s.,Calculates damage with the target’s attacking stat.,
493,simple-beam,100.0,,normal,15,,0,status,generation-v,Changes the target’s ability to simple.,Changes the target’s ability to Simple.,
494,entrainment,100.0,,normal,15,,0,status,generation-v,Changes the target’s ability to match the user’s.  This effect ends when the target leaves battle.,Copies the user’s ability onto the target.,
495,after-you,,,normal,15,,0,status,generation-v,"The target will act next this turn, regardless of Speed or move priority.
If the target has already acted this turn, this move will fail.",Makes the target act next this turn.,
496,round,100.0,60.0,normal,15,,0,special,generation-v,"Inflicts regular damage.  If round has already been used this turn, this move’s power is doubled.  After this move is used, any other Pokémon using it this turn will immediately do so (in the order they would otherwise act), regardless of Speed or priority.  Pokémon using other moves will then continue to act as usual.",Has double power if it’s used more than once per turn.,sound-based
497,echoed-voice,100.0,40.0,normal,15,,0,special,generation-v,"Inflicts regular damage.  If any friendly Pokémon used this move earlier this turn or on the previous turn, that use’s power is added to this move’s power, to a maximum of 200.","Power increases by 100% for each consecutive use by any friendly Pokémon, to a maximum of 200.",sound-based
498,chip-away,100.0,70.0,normal,20,,0,physical,generation-v,"Inflicts regular damage.  Damage calculation ignores the target’s stat modifiers, including evasion.",Ignores the target’s stat modifiers.,
499,clear-smog,,50.0,poison,15,,0,special,generation-v,Inflicts regular damage.  All of the target’s stat modifiers are reset to zero.,Removes all of the target’s stat modifiers.,
500,stored-power,100.0,20.0,psychic,10,,0,special,generation-v,"Inflicts regular damage.  Power is increased by 100% its original value for every stage any of the user’s stats have been raised.  Accuracy, evasion, and lowered stats do not affect this move’s power.  For a Pokémon with all five stats modified to +6, this move’s power is 31×.","Power is higher the more the user’s stats have been raised, to a maximum of 31×.",
501,quick-guard,,,fighting,15,,3,status,generation-v,"Moves with priority greater than 0 will not hit friendly Pokémon for the remainder of this turn.  If the user is last to act this turn, this move will fail.

This move cannot be selected by assist or metronome.",Prevents any priority moves from hitting friendly Pokémon this turn.,
502,ally-switch,,,psychic,15,,2,status,generation-v,"User switches position on the field with the friendly Pokémon opposite it.  If the user is in the middle position in a triple battle, or there are no other friendly Pokémon, this move will fail.",User switches places with the friendly Pokémon opposite it.,
503,scald,100.0,80.0,water,15,30.0,0,special,generation-v,Inflicts regular damage.  Has a 30% chance to burn the target.,Has a 30% chance to burn the target.,
504,shell-smash,,,normal,15,,0,status,generation-v,"Raises the user’s Attack, Special Attack, and Speed by two stages each.  Lowers the user’s Defense and Special Defense by one stage each.","Raises user’s Attack, Special Attack, and Speed by two stages.  Lower user’s Defense and Special Defense by one stage.",
505,heal-pulse,,,psychic,10,,0,status,generation-v,Heals the target for half its max HP.,Heals the target for half its max HP.,aura and pulse
506,hex,100.0,65.0,ghost,10,,0,special,generation-v,"Inflicts regular damage.  If the target has a major status ailment, this move has double power.",Has double power if the target has a major status ailment.,
507,sky-drop,100.0,60.0,flying,10,,0,physical,generation-v,"Inflicts regular damage.  User carries the target high into the air for one turn, during which no moves will hit either Pokémon and neither can act.  On the following turn, the user drops the target, inflicting damage and ending the effect.

If the target is flying-type, this move will function as normal but inflict no damage.

gust, hurricane, sky uppercut, smack down, thunder, twister, and whirlwind can hit both the user and the target during this effect.  gust and twister will additionally have double power.

The damage from hail and sandstorm still applies during this effect.

Either Pokémon may be hit during this effect if also under the effect of lock on, mind reader, or no guard.

This move cannot be used while gravity is in effect.

This move cannot be selected by sleep talk.

*Bug*: If gravity is used during a double or triple battle while this move is in effect, this move is not correctly canceled on the target, and it remains high in the air indefinitely.  As this move prevents the target from acting, the only way to subsequently remove it from the field is to faint it.","Carries the target high into the air, dodging all attacks against either, and drops it next turn.",
508,shift-gear,,,steel,10,,0,status,generation-v,Raises the user’s Attack by one stage and its Speed by two stages.,Raises the user’s Attack by one stage and its Speed by two stages.,
509,circle-throw,90.0,60.0,fighting,10,,-6,physical,generation-v,"Inflicts regular damage, then switches the target out for another of its trainer’s Pokémon, selected at random.

If the target is under the effect of ingrain or suction cups, or it has a substitute, or its Trainer has no more usable Pokémon, it will not be switched out.  If the target is a wild Pokémon, the battle ends instead.",Ends wild battles.  Forces trainers to switch Pokémon.,
510,incinerate,100.0,60.0,fire,15,,0,special,generation-v,"Inflicts regular damage.  If the target is holding a berry, it’s destroyed and cannot be used in response to this move.",Destroys the target’s held berry.,
511,quash,100.0,,dark,15,,0,status,generation-v,"Forces the target to act last this turn, regardless of Speed or move priority.  If the target has already acted this turn, this move will fail.",Makes the target act last this turn.,
512,acrobatics,100.0,55.0,flying,15,,0,physical,generation-v,"Inflicts regular damage.  If the user has no held item, this move has double power.",Has double power if the user has no held item.,
513,reflect-type,,,normal,15,,0,status,generation-v,User’s type changes to match the target’s.,User becomes the target’s type.,
514,retaliate,100.0,70.0,normal,5,,0,physical,generation-v,"Inflicts regular damage.  If a friendly Pokémon fainted on the previous turn, this move has double power.",Has double power if a friendly Pokémon fainted last turn.,
