id,name,is_main_series,generation_introduced,description,short_description
226,electric-surge,1,generation-vii,"When this Pokémon enters battle, it changes the terrain to electric terrain.","When this Pokémon enters battle, it changes the terrain to Electric Terrain."
227,psychic-surge,1,generation-vii,"When this Pokémon enters battle, it changes the terrain to psychic terrain.","When this Pokémon enters battle, it changes the terrain to Psychic Terrain."
228,misty-surge,1,generation-vii,"When this Pokémon enters battle, it changes the terrain to misty terrain.","When this Pokémon enters battle, it changes the terrain to Misty Terrain."
229,grassy-surge,1,generation-vii,"When this Pokémon enters battle, it changes the terrain to grassy terrain.","When this Pokémon enters battle, it changes the terrain to Grassy Terrain."
230,full-metal-body,1,generation-vii,"This Pokémon's stats cannot be lowered by other Pokémon's moves or abilities.  This effect only applies to normal stat modifications and not more exotic effects such as topsy turvy or power swap.

This Ability is not bypassed by mold breaker, teravolt, or turboblaze.",Other Pokémon cannot lower this Pokémon's stats.
231,shadow-shield,1,generation-vii,"When this Pokémon has full HP, regular damage (not fixed damage!) from moves is halved.

This ability cannot be nullified.","When this Pokémon has full HP, regular damage from moves is halved."
232,prism-armor,1,generation-vii,"Super-effective damage this Pokémon takes is reduced to 0.75×.

This Ability is not bypassed by mold breaker, teravolt, or turboblaze.",Reduces super-effective damage to 0.75×.
233,neuroforce,1,generation-vii,Increases super-effective damage dealt to 1.25×.,Increases super-effective damage dealt to 1.25×.
234,intrepid-sword,1,generation-viii,Boosts the Pokémon’s Attack stat the first time the Pokémon enters a battle.,Boosts Attack in battle.
235,dauntless-shield,1,generation-viii,Boosts the Pokémon’s Defense stat the first time the Pokémon enters a battle.,Boosts Defense in battle.
236,libero,1,generation-viii,Changes the Pokémon’s type to the type of the move it’s about to use. This works only once each time the Pokémon enters battle.,Libero changes the Pokémon's type to that of its previously used attack.
237,ball-fetch,1,generation-viii,"At any time after the first Poké Ball is thrown and fails to catch a Pokémon, at the end of a turn, if a Pokémon with Ball Fetch is on the field and not holding another item, it will pick up the same type of ball as the first one thrown.","If the Pokémon is not holding an item, it will fetch the Poké Ball from the first failed throw of the battle."
238,cotton-down,1,generation-viii,"When the Pokémon is hit by an attack, it scatters cotton fluff around and lowers the Speed stats of all Pokémon except itself.",When Ignores moves and abilities that draw in moves.
239,propeller-tail,1,generation-viii,Ignores the effects of opposing Pokémon’s Abilities and moves that draw in moves.,Ignores moves and abilities that draw in moves.
240,mirror-armor,1,generation-viii,Bounces back only the stat-lowering effects that the Pokémon receives.,Reflects any stat-lowering effects.
241,gulp-missile,1,generation-viii,"When the Pokémon uses Surf or Dive, it will come back with prey. When it takes damage, it will spit out the prey to attack.","If a Cramorant with Gulp Missile uses Surf or Dive, it catches prey and changes its form depending on its remaining HP."
242,stalwart,1,generation-viii,Ignores the effects of opposing Pokémon’s Abilities and moves that draw in moves.,Ignores moves and abilities that draw in moves.
243,steam-engine,1,generation-viii,Raises the user's Speed by three stages when it is hit by a Fire- or Water-type attack. The attack still deals damage.,Boosts the Speed stat drastically when the Pokémon is hit by a Fire- or Water-type move.
244,punk-rock,1,generation-viii,Boosts the power of sound-based moves. The Pokémon also takes half the damage from these kinds of moves.,Boosts sound-based moves and halves damage from the same moves.
245,sand-spit,1,generation-viii,The Pokémon creates a sandstorm when it’s hit by an attack.,Creates a sandstorm when hit by an attack.
246,ice-scales,1,generation-viii,"The Pokémon is protected by ice scales, which halve the damage taken from special moves.",Halves damage from Special moves.
247,ripen,1,generation-viii,Ripens Berries and doubles their effect.,Doubles the effect of berries.
248,ice-face,1,generation-viii,"When an Eiscue that's in its Ice Face form is hit by a physical move, it takes no damage and changes into its Noice Face form. If a hailstorm or snowstorm begins while Eiscue is in its Noice Face form, or if it is sent out in its Noice Face form during hail, it will immediately revert to its Ice Face form.","The Pokémon’s ice head can take a physical attack as a substitute, but the attack also changes the Pokémon’s appearance. The ice will be restored when it snows."
249,power-spot,1,generation-viii," ""The power of moves used by the allies of the Pokémon with Power Spot is increased by 30%.""",Just being next to the Pokémon powers up moves.
250,mimicry,1,generation-viii,Changes the Pokémon’s type depending on the terrain.,Changes type depending on the terrain.
251,screen-cleaner,1,generation-viii,"When the Pokémon enters a battle, the effects of Light Screen, Reflect, and Aurora Veil are nullified for both opposing and ally Pokémon.","Nullifies effects of Light Screen, Reflect, and Aurora Veil."
252,steely-spirit,1,generation-viii,Powers up the Steel-type moves of the Pokémon and its allies.,Powers up ally Pokémon's Steel-type moves.
253,perish-body,1,generation-viii,"When the Pokémon with Perish Body is hit with a contact move, both the attacker and the Pokémon with Perish Body will faint in three turns.","When hit by a move that makes direct contact, the Pokémon and the attacker will faint after three turns unless they switch out of battle."
254,wandering-spirit,1,generation-viii,The Pokémon exchanges Abilities with a Pokémon that hits it with a move that makes direct contact.,Swaps abilities with opponents on contact.
255,gorilla-tactics,1,generation-viii,Boosts the Pokémon’s Attack stat but only allows the use of the first selected move.,Boosts the Pokémon's Attack stat but only allows the use of the first selected move.
256,neutralizing-gas,1,generation-viii,"While the Pokémon is in the battle, the effects of all other Pokémon’s Abilities will be nullified or will not be triggered.",Neutralizes abilities of all Pokémon in battle.
257,pastel-veil,1,generation-viii,Prevents the Pokémon and its teammates from being poisoned. It also cures teammates of poisoning when it enters the battlefield.,Prevents the Pokémon and its allies from being poisoned.
258,hunger-switch,1,generation-viii,"The Pokémon changes its form, alternating between its Full Belly Mode and Hangry Mode after the end of every turn.","Causes Morpeko to change its form each turn, alternating between Full Belly Mode and Hangry Mode"
259,quick-draw,1,generation-viii,"If a Pokémon with this Ability selects a damaging move, it has a 30% chance of going first in its priority bracket.",Enables the Pokémon to move first occasionally.
260,unseen-fist,1,generation-viii,"If the Pokémon uses moves that make direct contact, it can attack the target even if the target protects itself.",Contact moves can strike through Protect/Detect.
261,curious-medicine,1,generation-viii,"When the Pokémon enters a battle, it scatters medicine from its shell, which removes all stat changes from allies.",Resets all stat changes upon entering battlefield.
262,transistor,1,generation-viii,Increases the power of Electric-type moves used by this Pokémon by 50%.,Powers up Electric-type moves.
263,dragons-maw,1,generation-viii,Increases the power of Dragon-type moves used by this Pokémon by 50%.,Powers up Dragon-type moves.
264,chilling-neigh,1,generation-viii,"When the Pokémon knocks out a target, it utters a chilling neigh, which boosts its Attack stat.",Boosts Attack after knocking out a Pokémon.
265,grim-neigh,1,generation-viii,"When the Pokémon knocks out a target, it utters a terrifying neigh, which boosts its Sp. Atk stat.",Boosts Special Attack after knocking out a Pokémon.
268,lingering-aroma,1,generation-ix,Contact with the Pokémon changes the attacker’s Ability to Lingering Aroma.,Contact changes the attacker's Ability to Lingering Aroma.
269,seed-sower,1,generation-ix,Turns the ground into Grassy Terrain when the Pokémon is hit by an attack.,Turns the ground into Grassy Terrain when the Pokémon is hit by an attack.
270,thermal-exchange,1,generation-ix,Boosts the Attack stat when the Pokémon is hit by a Fire-type move. The Pokémon also cannot be burned.,Raises Attack when hit by a Fire-type move. Cannot be burned.
271,anger-shell,1,generation-ix,"When an attack causes its HP to drop to half or less, the Pokémon gets angry. This lowers its Defense and Sp. Def stats but boosts its Attack, Sp. Atk, and Speed stats.","When the Pokémon's HP drops below half, Anger Shell lowers its Defense and Special Defense but its Attack, Special Attack and Speed are raised."
272,purifying-salt,1,generation-ix,The Pokémon’s pure salt protects it from status conditions and halves the damage taken from Ghost-type moves.,Protects from status conditions and halves damage from Ghost-type moves.
273,well-baked-body,1,generation-ix,"The Pokémon takes no damage when hit by Fire-type moves. Instead, its Defense stat is sharply boosted.","Immune to Fire-type moves, and Defense is sharply boosted."
274,wind-rider,1,generation-ix,Boosts the Pokémon’s Attack stat if Tailwind takes effect or if the Pokémon is hit by a wind move. The Pokémon also takes no damage from wind moves.,"Gives immunity to wind moves, and causes the Pokémon's Attack to increase by one stage when hit by one."
275,guard-dog,1,generation-ix,Boosts the Pokémon’s Attack stat if intimidated. Moves and items that would force the Pokémon to switch out also fail to work.,"Boosts Attack if intimidated, and prevents being forced to switch out."
276,rocky-payload,1,generation-ix,Increases the power of Rock-type moves used by this Pokémon by 50%.,Powers up Rock-type moves.
277,wind-power,1,generation-ix,"The Pokémon becomes charged when it is hit by a wind move, boosting the power of the next Electric-type move the Pokémon uses.","When hit by a wind move, the power of the next Electric-type move it uses is doubled."
278,zero-to-hero,1,generation-ix,The Pokémon transforms into its Hero Form when it switches out.,Transforms into its Hero Form when switching out.
279,commander,1,generation-ix,"When the Pokémon enters a battle, it goes inside the mouth of an ally Dondozo if one is on the field. The Pokémon then issues commands from there.",Goes inside the mouth of an ally Dondozo if one is on the field.
280,electromorphosis,1,generation-ix,"The Pokémon becomes charged when it takes damage, boosting the power of the next Electric-type move the Pokémon uses.","When hit by an attack, the power of the next Electric-type move it uses is doubled."
281,protosynthesis,1,generation-ix,Boosts the Pokémon’s most proficient stat in harsh sunlight or if the Pokémon is holding Booster Energy.,"Raises highest stat in harsh sunlight, or if holding Booster Energy."
282,quark-drive,1,generation-ix,Boosts the Pokémon’s most proficient stat on Electric Terrain or if the Pokémon is holding Booster Energy.,"Raises highest stat on Electric Terrain, or if holding Booster Energy."
283,good-as-gold,1,generation-ix,"A body of pure, solid gold gives the Pokémon full immunity to other Pokémon’s status moves.",Gives immunity to status moves.
284,vessel-of-ruin,1,generation-ix,The power of the Pokémon’s ruinous vessel lowers the Sp. Atk stats of all Pokémon except itself.,Lowers Special Attack of all Pokémon except itself.
285,sword-of-ruin,1,generation-ix,The power of the Pokémon’s ruinous sword lowers the Defense stats of all Pokémon except itself.,Lowers Defense of all Pokémon except itself.
286,tablets-of-ruin,1,generation-ix,The power of the Pokémon’s ruinous wooden tablets lowers the Attack stats of all Pokémon except itself.,Lowers Attack of all Pokémon except itself.
287,beads-of-ruin,1,generation-ix,The power of the Pokémon’s ruinous beads lowers the Sp. Def stats of all Pokémon except itself.,Lowers Special Defense of all Pokémon except itself.
288,orichalcum-pulse,1,generation-ix,Turns the sunlight harsh when the Pokémon enters a battle. The ancient pulse thrumming through the Pokémon also boosts its Attack stat in harsh sunlight.,"Turns the sunlight harsh when entering battle, and boosts Attack while active."
289,hadron-engine,1,generation-ix,Turns the ground into Electric Terrain when the Pokémon enters a battle. The futuristic engine within the Pokémon also boosts its Sp. Atk stat on Electric Terrain.,"Creates an Electric Terrain when entering battle, and boosts Special Attack while active."
290,opportunist,1,generation-ix,"If an opponent’s stat is boosted, the Pokémon seizes the opportunity to boost the same stat for itself.",Copies stat boosts by the opponent.
291,cud-chew,1,generation-ix,"When the Pokémon eats a Berry, it will regurgitate that Berry at the end of the next turn and eat it one more time.",Causes the Pokémon to reuse an already consumed Berry at the end of the next turn.
292,sharpness,1,generation-ix,Increases the power of all 'slicing' moves by 50%.,Powers up slicing moves.
293,supreme-overlord,1,generation-ix,"When the Pokémon enters a battle, its Attack and Sp. Atk stats are slightly boosted for each of the allies in its party that have already been defeated.",Attack and Special Attack are boosted for each party Pokémon that has been defeated.
294,costar,1,generation-ix,"When the Pokémon enters a battle, it copies an ally’s stat changes.",Copies ally's stat changes on entering battle.
295,toxic-debris,1,generation-ix,Scatters poison spikes at the feet of the opposing team when the Pokémon takes damage from physical moves.,Scatters poison spikes at the feet of the opposing team when the Pokémon takes damage from physical moves.
296,armor-tail,1,generation-ix,The mysterious tail covering the Pokémon’s head makes opponents unable to use priority moves against the Pokémon or its allies.,"Prevents the opponent from using any moves that have priority, such as Quick Attack."
297,earth-eater,1,generation-ix,"If hit by a Ground-type move, the Pokémon has its HP restored instead of taking damage.",Restores HP when hit by a Ground-type move.
298,mycelium-might,1,generation-ix,"The Pokémon will always act more slowly when using status moves, but these moves will be unimpeded by the Ability of the target.","Status moves go last, but are not affected by the opponent's ability."
299,minds-eye,1,generation-ix,Mind's Eye enables the Pokémon with this Ability to hit Ghost-type Pokémon with damage-dealing Normal- and Fighting-type moves. It also prevents other Pokémon from lowering the Pokémon's accuracy and ignores changes to the opponents' evasion.,"The Pokémon ignores changes to opponents' evasiveness, its accuracy can't be lowered, and it can hit Ghost types with Normal- and Fighting-type moves."
300,supersweet-syrup,1,generation-ix,"A sickly sweet scent spreads across the field the first time the Pokémon enters a battle, lowering the evasiveness of opposing Pokémon.","Once per battle, when a Pokémon with Supersweet Syrup enters the battle, it lowers the evasion stat of all adjacent opponents by one stage. "
301,hospitality,1,generation-ix,"When the Pokémon enters a battle, it showers its ally with hospitality, restoring a small amount of the ally's HP.","When a Pokémon with Hospitality enters a battle, it restores HP for an ally by 25%."
302,toxic-chain,1,generation-ix,The power of the Pokémon's toxic chain may badly poison any target the Pokémon hits with a move.,May cause bad poisoning when the Pokémon hits an opponent with a move.
303,embody-aspect,1,generation-ix,"Embody Aspect boosts a particular stat, depending on the form of a Terastallized Ogerpon","Embody Aspect boosts a particular stat, depending on the form of a Terastallized Ogerpon"
304,tera-shift,1,generation-ix,"When the Pokémon enters a battle, it absorbs the energy around itself and transforms into its Terastal Form.","When Terapagos enters the battle, it turns into its Terastal Form until the end of the battle. "
305,tera-shell,1,generation-ix,The Pokémon’s shell contains the powers of each type. All damage-dealing moves that hit the Pokémon when its HP is full will not be very effective.,All damage-dealing moves that hit the Pokémon when its HP is full will not be very effective.
306,teraform-zero,1,generation-ix,"When Terapagos changes into its Stellar Form, it uses its hidden powers to eliminate all effects of weather and terrain, reducing them to zero.","As soon as Terapagos assumes its Stellar Form, it will immediately neutralize weather and terrain effects. "
307,poison-puppeteer,1,generation-ix,"When a Pokémon is poisoned by any of Pecharunt's moves, it will also become confused.",Pokémon poisoned by Pecharunt's moves will also become confused.
